,barcode,postcode,district,latitude,longitude
0,FQ540107410GB,EH88AD,EH8,55.950173,-3.182539
1,TJ605702214GB,EH67PJ,EH6,55.969909,-3.153708
2,FQ430027246GB,EH92JP,EH9,55.935547,-3.181293
3,FQ772601817GB,EH93AX,EH9,55.924977,-3.173193
4,FQ551001349GB,EH177ER,EH17,55.912269,-3.140012
5,QA474246700GB,EH37RN,EH3,55.951332,-3.214396
6,QT249266517GB,EH12QP,EH1,55.945666,-3.19148
7,JX366088726GB,EH45PZ,EH4,55.966235,-3.263485
8,QT249266208GB,EH41NS,EH4,55.957213,-3.213506
9,QA419149778GB,EH45HJ,EH4,55.967083,-3.27367
10,QT249266605GB,EH139EU,EH13,55.91239100000001,-3.22276
11,QT249264887GB,EH23AH,EH2,55.95146,-3.202676
12,FY123634525GB,EH75AH,EH7,55.956636,-3.176617
13,JG298958085GB,EH87AZ,EH8,55.95586700000001,-3.148661
14,FQ551578499GB,EH64AE,EH6,55.975277,-3.180789
15,QA586291522GB,EH91ER,EH9,55.93892,-3.197677
16,FQ372818013GB,EH64PW,EH6,55.977327,-3.1890400000000003
17,FQ514447066GB,EH129AD,EH12,55.933038,-3.2885440000000004
18,FY310133375GB,EH24JS,EH2,55.952322,-3.205971
19,QA421198715GB,EH47QH,EH4,55.959459,-3.294756
20,FY310116695GB,EH89SD,EH8,55.942703,-3.178132
21,FY310120054GB,EH91NH,EH9,55.93933199999999,-3.182961
22,JG481399374GB,EH13NZ,EH1,55.959536,-3.18441
23,FY339255883GB,EH130LX,EH13,55.911542,-3.266745
24,QA474246231GB,EH66DN,EH6,55.974783,-3.171368
25,JG778125489GB,EH13LH,EH1,55.958018,-3.187119
26,QA419149883GB,EH13PR,EH1,55.955953,-3.193478
27,JG778125965GB,EH66QH,EH6,55.976515,-3.167766
28,JW083969679GB,EH21EY,EH2,55.953301,-3.201004
29,JF384156379GB,EH38BL,EH3,55.944898,-3.206684
30,JF384139415GB,EH43HY,EH4,55.95281800000001,-3.237039
31,QA474246421GB,EH91DT,EH9,55.937509,-3.20234
32,TJ579521239GB,EH127DA,EH12,55.936037,-3.269354
33,QA506065621GB,EH68EG,EH6,55.967234,-3.162889
34,FY164439353GB,EH39JR,EH3,55.94319599999999,-3.203365
35,JF384302346GB,EH47AL,EH4,55.960045,-3.273888
36,JF332358910GB,EH89TE,EH8,55.946403,-3.180214
37,JG481402303GB,EH52QW,EH5,55.972127,-3.227288
38,FY339255954GB,EH45NE,EH4,55.97049499999999,-3.26513
39,FY343500625GB,EH53AH,EH5,55.97276,-3.20135
40,FY347877584GB,EH164WG,EH16,55.923871,-3.119743
41,FR955761301GB,EH36ES,EH3,55.955145,-3.204472
42,FY123632003GB,EH92JT,EH9,55.93539000000001,-3.183657
43,FY181136692GB,EH91HT,EH9,55.9373,-3.194265
44,JF386688110GB,EH23AA,EH2,55.951612,-3.2009830000000004
45,JF384309168GB,EH13QY,EH1,55.957349,-3.189405
46,FQ632976782GB,EH47LJ,EH4,55.953635,-3.2905580000000003
47,JW324280113GB,EH46QT,EH4,55.97541700000001,-3.2965230000000005
48,FR988556237GB,EH43HB,EH4,55.95435,-3.23302
49,JX365408018GB,EH111RF,EH11,55.932663,-3.229018
50,JF384186778GB,EH46QT,EH4,55.97541700000001,-3.2965230000000005
51,JG364633437GB,EH11HD,EH1,55.946569,-3.189122
52,QA474243266GB,EH89LZ,EH8,55.940834,-3.18195
53,FY310124541GB,EH91ES,EH9,55.938603,-3.197107
54,QT249264935GB,EH75QQ,EH7,55.961192,-3.170973
55,QA487717685GB,EH39QS,EH3,55.942558,-3.205234
56,JG356312909GB,EH44GJ,EH4,55.967119,-3.260566
57,TJ605698917GB,EH37EB,EH3,55.949398,-3.216016
58,QJ192329305GB,EH52GS,EH5,55.971709,-3.235271
59,FQ088319180GB,EH51NQ,EH5,55.977178,-3.231647
60,FR963034711GB,EH42GF,EH4,55.967015,-3.234368
61,JF384238991GB,EH130NE,EH13,55.911235,-3.264335
62,FY343498498GB,EH36TG,EH3,55.956295,-3.202666
63,YJ317406595GB,EH65FP,EH6,55.969875,-3.177582
64,QA586289325GB,EH74FB,EH7,55.964986,-3.19499
65,QA474239947GB,EH39LA,EH3,55.942671,-3.202804
66,FY123630427GB,EH89RD,EH8,55.941059,-3.176627
67,QJ192118615GB,EH36RY,EH3,55.959346,-3.196546
68,FQ772430587GB,EH114NS,EH11,55.92221,-3.2856400000000003
69,JX366274414GB,EH66SZ,EH6,55.974971,-3.16953
70,QT249267132GB,EH36RL,EH3,55.959175,-3.202163
71,QA421199716GB,EH89AD,EH8,55.945274,-3.187803
72,FY181137358GB,EH36PT,EH3,55.959334,-3.195937
73,QA476707571GB,EH87RG,EH8,55.950098,-3.130219
74,QA499676988GB,EH65JR,EH6,55.971173,-3.179606
75,FQ590468858GB,EH193NP,EH19,55.868502,-3.096334
76,QA499673553GB,EH89JH,EH8,55.94245600000001,-3.182801
77,QJ191362319GB,EH64DB,EH6,55.97319,-3.185757
78,JG942823325GB,EH88FH,EH8,55.949289,-3.18003
79,FY343522360GB,EH87RN,EH8,55.947280000000006,-3.134684
80,FQ778447529GB,EH38HE,EH3,55.94752800000001,-3.210625
81,FQ590473671GB,EH89JH,EH8,55.94245600000001,-3.182801
82,JF384266476GB,EH74EQ,EH7,55.9645,-3.1923310000000003
83,QA476708033GB,EH89QB,EH8,55.939451,-3.178097
84,FQ766621450GB,EH38BB,EH3,55.945609,-3.212999
85,QJ192079214GB,EH46AN,EH4,55.965715,-3.2781910000000005
86,QT249265264GB,EH88FH,EH8,55.949289,-3.18003
87,FY207365006GB,EH89JH,EH8,55.94245600000001,-3.182801
88,JG481402816GB,EH112DW,EH11,55.943708,-3.219824
89,JF384145495GB,EH142LQ,EH14,55.913232,-3.261489
90,FY123632136GB,EH39FE,EH3,55.942708,-3.197201
91,TJ579500888GB,EH74JZ,EH7,55.964016,-3.190346
92,QA586289719GB,EH35AF,EH3,55.959038,-3.206019
93,FY164449112GB,EH91SL,EH9,55.93709200000001,-3.178586
94,QJ333967863GB,EH76LW,EH7,55.958801,-3.146169
95,QJ493764494GB,EH39QG,EH3,55.943195,-3.208072
96,QA487715640GB,EH35DQ,EH3,55.959962,-3.201083
97,QJ600640040GB,EH181BF,EH18,55.880377,-3.118236
98,FQ627597606GB,EH87RP,EH8,55.948048,-3.13429
99,JG481402881GB,EH41AW,EH4,55.959311,-3.219402
100,FQ512258201GB,EH112TJ,EH11,55.944553000000006,-3.219819
101,FY343530919GB,EH129EG,EH12,55.93099100000001,-3.302945
102,QJ343040084GB,EH52LR,EH5,55.974241000000006,-3.2368900000000003
103,FQ772848166GB,EH145QP,EH14,55.898763,-3.316611
104,FY343525785GB,EH165JT,EH16,55.931875,-3.163974
105,QA397660497GB,EH12QP,EH1,55.945666,-3.19148
106,JG940056475GB,EH53JD,EH5,55.978515,-3.209189
107,QA474247824GB,EH209LZ,EH20,55.873561,-3.163779
108,JX362417917GB,EH13NX,EH1,55.959714,-3.185457
109,QJ055097922GB,EH47SJ,EH4,55.955452,-3.291307
110,JF384267729GB,EH107BN,EH10,55.898255000000006,-3.20749
111,FQ567752513GB,EH74AT,EH7,55.960826,-3.183889
112,JG481400832GB,EH47AJ,EH4,55.96120500000001,-3.273734
113,QT249265074GB,EH35EA,EH3,55.96220600000001,-3.199998
114,QA504952717GB,EH145BY,EH14,55.905104,-3.286274
115,FQ590471429GB,EH91SL,EH9,55.93709200000001,-3.178586
116,JF386667517GB,EH89JD,EH8,55.941391,-3.181022
117,FY181137021GB,EH35ET,EH3,55.961359,-3.20026
118,TJ579517217GB,EH112AT,EH11,55.94195600000001,-3.218921
119,QA487713666GB,EH64EH,EH6,55.97821500000001,-3.183651
120,FR499271461GB,EH87HB,EH8,55.952882,-3.146843
121,QA421201057GB,EH39HJ,EH3,55.942937,-3.198617
122,FI214507708GB,EH65NU,EH6,55.973287,-3.183068
123,QA421199217GB,EH106PS,EH10,55.90812800000001,-3.213156
124,JF384266330GB,EH36TJ,EH3,55.95670300000001,-3.203175
125,QA397660483GB,EH12PF,EH1,55.94919599999999,-3.194423
126,FQ647798023GB,EH35QH,EH3,55.967291,-3.205619
127,JF384311229GB,EH46ES,EH4,55.962111,-3.290375
128,JF384132390GB,EH106AU,EH10,55.921161,-3.210987
129,JF384156895GB,EH125EZ,EH12,55.945485,-3.22004
130,QA421198959GB,EH39JZ,EH3,55.942639,-3.202403
131,FR953835063GB,EH47DR,EH4,55.95694399999999,-3.284389
132,FQ557518887GB,EH43ED,EH4,55.95277900000001,-3.2301990000000003
133,JG355930233GB,EH39SR,EH3,55.947059,-3.207617
134,FY207356035GB,EH64QY,EH6,55.97171700000001,-3.193114
135,FQ815839067GB,EH45BP,EH4,55.963672,-3.273318
136,FY343521846GB,EH39LT,EH3,55.942048,-3.201296
137,QT249267296GB,EH89LW,EH8,55.942812,-3.185485
138,QA504952898GB,EH91PL,EH9,55.939753,-3.182157
139,JF332387845GB,EH66JJ,EH6,55.980912,-3.177819
140,FQ185027596GB,EH35AQ,EH3,55.958189,-3.2056240000000003
141,TJ580724790GB,EH89JS,EH8,55.94325799999999,-3.185372
142,FY164436175GB,EH65HX,EH6,55.970975,-3.1730150000000004
